ITEM_1,ITEM_2,ITEM_1_URGENCY,ITEM_2_URGENCY,ITEM_1_PROCESSES,ITEM_2_PROCESSES,ITEM_1_MACHINES,ITEM_2_MACHINES,PROCESS_CONFLICTS,MACHINE_CONFLICTS,CAN_RUN_PARALLEL,SEQUENTIAL_TIME_DAYS,PARALLEL_TIME_DAYS,TIME_SAVED_DAYS,EFFICIENCY_GAIN_PCT
ABB436,HYO026,CRITICAL,CRITICAL,"110, 80, 154, 17, 9.58438, 193, 49.66, 2, Ready for Machining (HM01), 100","100, 4, 154, 17, Ready for Machining (OUT-DYNO), 30, 50, 2, 9.58438, 193, 60, 49.66, 1, 20, 70","GENERAL, HM01","OUT-DYNO, GENERAL","154, 17, 9.58438, 193, 49.66, 2, 100",,False,573.0,345.0,228.0,39.79
ABB373,SIE469,CRITICAL,CRITICAL,"100, 110, 80, 30, 50, 70, 60, 40, 140, 20, Ready for Machining (HM01), 90, 130","110, 80, 154, 17, 70, 2, 9.58438, 193, 60, 40, 49.66, 4, 90, Ready for Machining (OUT-EAGLE)","GENERAL, HM01","OUT-EAGLE, GENERAL","110, 80, 60, 40, 90, 70",,False,432.0,264.0,168.0,38.89
ABB439,ABB456,CRITICAL,CRITICAL,"100, 154, Ready for Machining (HM02), 9.58438, 193, 49.66, 17, 70","Ready for Machining (HM07), 110, 80, 154, 2, 50, 9.58438, 193, 60, 40, 49.66, 4, 17, 70","HM02, GENERAL","GENERAL, HM07","154, 9.58438, 193, 49.66, 17, 70",,False,46.9,29.3,17.6,37.53
ABB402,ABB448,CRITICAL,CRITICAL,"Ready for Machining (OUT-DYNO), 9.58438, 193, 49.66, 2, 70","110, 80, Ready for Machining (HM10), 154, 50, 9.58438, 193, 60, 49.66, 4, 17","OUT-DYNO, GENERAL","HM10, GENERAL","49.66, 9.58438, 193",,False,37.1,23.4,13.7,36.93
ABB402,ABB435,CRITICAL,CRITICAL,"Ready for Machining (OUT-DYNO), 9.58438, 193, 49.66, 2, 70","Ready for Machining (HM07), 110, 80, 154, 2, 9.58438, 193, 60, 49.66, 4, 17, 70","OUT-DYNO, GENERAL","GENERAL, HM07","9.58438, 193, 49.66, 2, 70",,False,39.1,25.4,13.7,35.04
ABB402,ABB457,CRITICAL,CRITICAL,"Ready for Machining (OUT-DYNO), 9.58438, 193, 49.66, 2, 70","110, 90, 17, 2, 9.58438, 193, 40, 49.66, Ready for Machining (SANPOWER), 4, 100, 70","OUT-DYNO, GENERAL","SANPOWER, GENERAL","9.58438, 193, 49.66, 2, 70",,False,39.1,25.4,13.7,35.04
TOS013,SIE469,CRITICAL,CRITICAL,"4, 154, 80, Ready for Machining (OUT-DYNO), 30, 50, 2, 9.58438, 193, 60, 49.66, 1, 20, 70","110, 80, 154, 17, 70, 2, 9.58438, 193, 60, 40, 49.66, 4, 90, Ready for Machining (OUT-EAGLE)","OUT-DYNO, GENERAL","OUT-EAGLE, GENERAL","154, 80, 2, 9.58438, 193, 60, 49.66, 4, 70",,False,483.0,315.0,168.0,34.78
ABB429,ABB439,CRITICAL,CRITICAL,"110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130","100, 154, Ready for Machining (HM02), 9.58438, 193, 49.66, 17, 70","HM02, GENERAL","HM02, GENERAL","154, Ready for Machining (HM02), 9.58438, 193, 49.66, 17, 70","HM02, GENERAL",False,52.7,35.1,17.6,33.4
ABB436,SIE469,CRITICAL,CRITICAL,"110, 80, 154, 17, 9.58438, 193, 49.66, 2, Ready for Machining (HM01), 100","110, 80, 154, 17, 70, 2, 9.58438, 193, 60, 40, 49.66, 4, 90, Ready for Machining (OUT-EAGLE)","GENERAL, HM01","OUT-EAGLE, GENERAL","154, 110, 80, 9.58438, 193, 49.66, 2, 17",,False,513.0,345.0,168.0,32.75
ABB402,ABB456,CRITICAL,CRITICAL,"Ready for Machining (OUT-DYNO), 9.58438, 193, 49.66, 2, 70","Ready for Machining (HM07), 110, 80, 154, 2, 50, 9.58438, 193, 60, 40, 49.66, 4, 17, 70","OUT-DYNO, GENERAL","GENERAL, HM07","9.58438, 193, 49.66, 2, 70",,False,43.0,29.3,13.7,31.86
ABB402,ABB429,CRITICAL,CRITICAL,"Ready for Machining (OUT-DYNO), 9.58438, 193, 49.66, 2, 70","110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130","OUT-DYNO, GENERAL","HM02, GENERAL","9.58438, 193, 49.66, 2, 70",,False,48.8,35.1,13.7,28.07
ABB401,ABB402,CRITICAL,CRITICAL,Ready for Machining (OUT-DYNO),"Ready for Machining (OUT-DYNO), 9.58438, 193, 49.66, 2, 70",OUT-DYNO,"OUT-DYNO, GENERAL",Ready for Machining (OUT-DYNO),OUT-DYNO,False,17.7,13.7,4.0,22.6
ABB402,ABB405,CRITICAL,CRITICAL,"Ready for Machining (OUT-DYNO), 9.58438, 193, 49.66, 2, 70",Ready for Machining (OUT-DYNO),"OUT-DYNO, GENERAL",OUT-DYNO,Ready for Machining (OUT-DYNO),OUT-DYNO,False,17.7,13.7,4.0,22.6
SIE469,ABB429,CRITICAL,CRITICAL,"110, 80, 154, 17, 70, 2, 9.58438, 193, 60, 40, 49.66, 4, 90, Ready for Machining (OUT-EAGLE)","110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130","OUT-EAGLE, GENERAL","HM02, GENERAL","154, 110, 80, 2, 9.58438, 193, 60, 40, 49.66, 4, 17, 70",,False,203.1,168.0,35.1,17.28
SIE469,ABB456,CRITICAL,CRITICAL,"110, 80, 154, 17, 70, 2, 9.58438, 193, 60, 40, 49.66, 4, 90, Ready for Machining (OUT-EAGLE)","Ready for Machining (HM07), 110, 80, 154, 2, 50, 9.58438, 193, 60, 40, 49.66, 4, 17, 70","OUT-EAGLE, GENERAL","GENERAL, HM07","154, 110, 80, 2, 9.58438, 193, 60, 40, 49.66, 4, 17, 70",,False,197.3,168.0,29.3,14.85
ABB420,ABB448,CRITICAL,CRITICAL,Ready for Machining (HM10),"110, 80, Ready for Machining (HM10), 154, 50, 9.58438, 193, 60, 49.66, 4, 17",HM10,"HM10, GENERAL",Ready for Machining (HM10),HM10,False,27.4,23.4,4.0,14.6
ABB435,ABB447,CRITICAL,CRITICAL,"Ready for Machining (HM07), 110, 80, 154, 2, 9.58438, 193, 60, 49.66, 4, 17, 70",Ready for Machining (HM07),"GENERAL, HM07",HM07,Ready for Machining (HM07),HM07,False,29.4,25.4,4.0,13.61
ARE255,ABB429,CRITICAL,CRITICAL,"110, 80, 154, 2, Ready for Machining (HM02), 50, 9.58438, 193, 60, 49.66, 10, 4, 17, 70","110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130","HM02, GENERAL","HM02, GENERAL","154, 110, 80, 2, Ready for Machining (HM02), 9.58438, 193, 60, 49.66, 4, 17, 70","HM02, GENERAL",False,263.1,228.0,35.1,13.34
ARE330,ABB429,CRITICAL,CRITICAL,"110, 80, 154, 2, Ready for Machining (HM05), 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 70","110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130","HM05, GENERAL","HM02, GENERAL","154, 110, 80, 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 70",,False,263.1,228.0,35.1,13.34
HYO025,ABB429,CRITICAL,CRITICAL,"4, 110, 80, 154, Ready for Machining (OUT-DYNO), 17, 2, 50, 9.58438, 193, 60, 40, 49.66, 20, 1, 100, 70","110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130","OUT-DYNO, GENERAL","HM02, GENERAL","154, 110, 80, 2, 70, 9.58438, 193, 60, 40, 49.66, 4, 17, 1",,False,263.1,228.0,35.1,13.34
HYO026,ABB429,CRITICAL,CRITICAL,"100, 4, 154, 17, Ready for Machining (OUT-DYNO), 30, 50, 2, 9.58438, 193, 60, 49.66, 1, 20, 70","110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130","OUT-DYNO, GENERAL","HM02, GENERAL","4, 154, 9.58438, 193, 60, 49.66, 1, 2, 17, 70",,False,263.1,228.0,35.1,13.34
SIE469,ABB435,CRITICAL,CRITICAL,"110, 80, 154, 17, 70, 2, 9.58438, 193, 60, 40, 49.66, 4, 90, Ready for Machining (OUT-EAGLE)","Ready for Machining (HM07), 110, 80, 154, 2, 9.58438, 193, 60, 49.66, 4, 17, 70","OUT-EAGLE, GENERAL","GENERAL, HM07","154, 110, 80, 2, 9.58438, 193, 60, 49.66, 4, 17, 70",,False,193.4,168.0,25.4,13.13
SIE469,ABB457,CRITICAL,CRITICAL,"110, 80, 154, 17, 70, 2, 9.58438, 193, 60, 40, 49.66, 4, 90, Ready for Machining (OUT-EAGLE)","110, 90, 17, 2, 9.58438, 193, 40, 49.66, Ready for Machining (SANPOWER), 4, 100, 70","OUT-EAGLE, GENERAL","SANPOWER, GENERAL","110, 17, 2, 9.58438, 193, 40, 49.66, 4, 90, 70",,False,193.4,168.0,25.4,13.13
SIE469,ABB448,CRITICAL,CRITICAL,"110, 80, 154, 17, 70, 2, 9.58438, 193, 60, 40, 49.66, 4, 90, Ready for Machining (OUT-EAGLE)","110, 80, Ready for Machining (HM10), 154, 50, 9.58438, 193, 60, 49.66, 4, 17","OUT-EAGLE, GENERAL","HM10, GENERAL","154, 110, 80, 9.58438, 193, 60, 49.66, 4, 17",,False,191.4,168.0,23.4,12.23
ABB447,ABB456,CRITICAL,CRITICAL,Ready for Machining (HM07),"Ready for Machining (HM07), 110, 80, 154, 2, 50, 9.58438, 193, 60, 40, 49.66, 4, 17, 70",HM07,"GENERAL, HM07",Ready for Machining (HM07),HM07,False,33.3,29.3,4.0,12.01
ABB373,ABB429,CRITICAL,CRITICAL,"100, 110, 80, 30, 50, 70, 60, 40, 140, 20, Ready for Machining (HM01), 90, 130","110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130","GENERAL, HM01","HM02, GENERAL","110, 80, 70, 60, 40, 140, 130",,False,299.1,264.0,35.1,11.74
ARE255,ABB456,CRITICAL,CRITICAL,"110, 80, 154, 2, Ready for Machining (HM02), 50, 9.58438, 193, 60, 49.66, 10, 4, 17, 70","Ready for Machining (HM07), 110, 80, 154, 2, 50, 9.58438, 193, 60, 40, 49.66, 4, 17, 70","HM02, GENERAL","GENERAL, HM07","154, 110, 80, 2, 50, 9.58438, 193, 60, 49.66, 4, 17, 70",,False,257.3,228.0,29.3,11.39
