ITEM_CODE,STAGE,PROCESS,QTY,TONNAGE,DATE,AGING
SIE463,WIP_DM,100,1.0,0.5177999999999999,2025-07-24 02:16:02.776987,53.73329570602073
DEF001,WIP_DM,110,1.0,0.17638,2025-07-24 02:16:02.776987,31.26000509259029
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,25.20129657407233
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,26.30334438657155
ABB435,WIP_DM,110,1.0,0.2953,2025-07-24 02:16:02.776987,15.17184199074108
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,26.22099481481564
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,26.22204454860912
ARE316,WIP_DM,100,1.0,0.0233,2025-07-24 02:16:02.776987,19.24647194444697
ABB435,WIP_DM,110,1.0,0.2953,2025-07-24 02:16:02.776987,13.44384787036688
ARE258,WIP_DM,110,1.0,0.015414,2025-07-24 02:16:02.776987,20.53955570601829
ABB456,WIP_DM,110,1.0,0.2947,2025-07-24 02:16:02.776987,71.84190040509566
ABB435,WIP_DM,110,1.0,0.2953,2025-07-24 02:16:02.776987,11.76276690972009
ABB435,WIP_DM,110,1.0,0.2953,2025-07-24 02:16:02.776987,13.4482155671285
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,45.20787234953605
ARE258,WIP_DM,110,1.0,0.015414,2025-07-24 02:16:02.776987,20.2526136342567
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,27.12420969907544
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,25.32739156250318
ARE237,WIP_DM,110,1.0,0.0117,2025-07-24 02:16:02.776987,14.76764677083702
ARE237,WIP_DM,110,1.0,0.0117,2025-07-24 02:16:02.776987,14.76885832176049
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,25.32858681712969
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,25.2525948726834
ABB457,WIP_DM,110,1.0,0.024,2025-07-24 02:16:02.776987,25.25326935185149
ABB456,WIP_DM,110,1.0,0.2947,2025-07-24 02:16:02.776987,60.15986068287021
ABB456,WIP_DM,110,1.0,0.2947,2025-07-24 02:16:02.776987,19.89368138888676
ABB456,WIP_DM,110,1.0,0.2947,2025-07-24 02:16:02.776987,23.87997883102071
HYO024,WIP_DM,100,1.0,0.1091,2025-07-24 02:16:02.776987,21.92430884259375
ABB456,WIP_DM,110,1.0,0.2947,2025-07-24 02:16:02.776987,22.83336809027969
ABB456,WIP_DM,110,1.0,0.2947,2025-07-24 02:16:02.776987,23.54464225694392
ARE330,WIP_DM,110,1.0,0.0431,2025-07-24 02:16:02.776987,23.39797109953361
ARE330,WIP_DM,110,1.0,0.0431,2025-07-24 02:16:02.776987,23.81027111111325
ARE330,WIP_DM,110,1.0,0.0431,2025-07-24 02:16:02.776987,23.32005966435099
SIE448,WIP_DM,100,1.0,0.3605,2025-07-24 02:16:02.776987,35.76217196759535
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,26.41399884258863
ABB459,WIP_DM,110,1.0,0.47642,2025-07-24 02:16:02.776987,15.446780717597
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,39.12429118055297
ABB459,WIP_DM,110,1.0,0.47642,2025-07-24 02:16:02.776987,15.93928726852027
HIT020,WIP_DM,110,1.0,0.931,2025-07-24 02:16:02.776987,21.49257122685231
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,41.13419427083136
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,41.13362584490824
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,43.56266237268574
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,39.12147283564991
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,43.5208627546308
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,42.50598344907485
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,41.1310481249966
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,43.5618241319462
ARE244,WIP_DM,110,1.0,0.0068,2025-07-24 02:16:02.776987,43.65850969907478
